title,release_year,category_id,full name
VANISHING ROCKY,2006,12,MATTHEW JOHANSSON
ANYTHING SAVANNAH,2006,11,JOE SWANK
BIRCH ANTITRUST,2006,12,JOE SWANK
CHOCOLAT HARRY,2006,8,JOE SWANK
CHOCOLATE DUCK,2006,9,JOE SWANK
CROOKED FROGMEN,2006,3,JOE SWANK
CURTAIN VIDEOTAPE,2006,10,JOE SWANK
DALMATIONS SWEDEN,2006,7,JOE SWANK
HORROR REIGN,2006,16,JOE SWANK
LAWLESS VISION,2006,2,JOE SWANK
LEBOWSKI SOLDIERS,2006,7,JOE SWANK
MAJESTIC FLOATS,2006,6,JOE SWANK
PACIFIC AMISTAD,2006,6,JOE SWANK
PERDITION FARGO,2006,15,JOE SWANK
PRIMARY GLASS,2006,1,JOE SWANK
REEF SALUTE,2006,11,JOE SWANK
RUNNER MADIGAN,2006,12,JOE SWANK
SMILE EARRING,2006,16,JOE SWANK
SNATCHERS MONTEZUMA,2006,4,JOE SWANK
SUNRISE LEAGUE,2006,2,JOE SWANK
SWEETHEARTS SUSPECTS,2006,3,JOE SWANK
TIES HUNGER,2006,3,JOE SWANK
TRAFFIC HOBBIT,2006,16,JOE SWANK
UNTOUCHABLES SUNRISE,2006,6,JOE SWANK
WATERFRONT DELIVERANCE,2006,1,JOE SWANK
WILD APOLLO,2006,13,JOE SWANK
ACADEMY DINOSAUR,2006,6,CHRISTIAN GABLE
ALABAMA DEVIL,2006,11,CHRISTIAN GABLE
CROOKED FROGMEN,2006,3,CHRISTIAN GABLE
DIVINE RESURRECTION,2006,10,CHRISTIAN GABLE
DRAGONFLY STRANGERS,2006,13,CHRISTIAN GABLE
GOLDFINGER SENSIBILITY,2006,7,CHRISTIAN GABLE
JAWBREAKER BROOKLYN,2006,12,CHRISTIAN GABLE
JEEPERS WEDDING,2006,4,CHRISTIAN GABLE
LIFE TWISTED,2006,5,CHRISTIAN GABLE
LORD ARIZONA,2006,1,CHRISTIAN GABLE
MOD SECRETARY,2006,6,CHRISTIAN GABLE
PREJUDICE OLEANDER,2006,4,CHRISTIAN GABLE
PUNK DIVORCE,2006,2,CHRISTIAN GABLE
REAP UNFAITHFUL,2006,11,CHRISTIAN GABLE
SHAKESPEARE SADDLE,2006,15,CHRISTIAN GABLE
TROUBLE DATE,2006,16,CHRISTIAN GABLE
USUAL UNTOUCHABLES,2006,9,CHRISTIAN GABLE
VACATION BOONDOCK,2006,14,CHRISTIAN GABLE
WATERFRONT DELIVERANCE,2006,1,CHRISTIAN GABLE
WEDDING APOLLO,2006,6,CHRISTIAN GABLE
WIZARD COLDBLOODED,2006,12,CHRISTIAN GABLE
WON DARES,2006,12,CHRISTIAN GABLE
CANYON STOCK,2006,2,ZERO CAGE
DANCES NONE,2006,1,ZERO CAGE
ENCINO ELF,2006,10,ZERO CAGE
ENDING CROWDS,2006,13,ZERO CAGE
GANDHI KWAI,2006,8,ZERO CAGE
GODFATHER DIARY,2006,13,ZERO CAGE
HANDICAP BOONDOCK,2006,1,ZERO CAGE
HONEY TIES,2006,15,ZERO CAGE
HORN WORKING,2006,2,ZERO CAGE
IMAGE PRINCESS,2006,15,ZERO CAGE
JERSEY SASSY,2006,3,ZERO CAGE
LOSER HUSTLER,2006,15,ZERO CAGE
MEET CHOCOLATE,2006,9,ZERO CAGE
MOD SECRETARY,2006,6,ZERO CAGE
MOONWALKER FOOL,2006,10,ZERO CAGE
OLEANDER CLUE,2006,12,ZERO CAGE
RACER EGG,2006,7,ZERO CAGE
STORY SIDE,2006,1,ZERO CAGE
STRANGERS GRAFFITI,2006,11,ZERO CAGE
THIN SAGEBRUSH,2006,6,ZERO CAGE
TOOTSIE PILOT,2006,3,ZERO CAGE
UPTOWN YOUNG,2006,3,ZERO CAGE
VELVET TERMINATOR,2006,5,ZERO CAGE
WEST LION,2006,7,ZERO CAGE
WORKER TARZAN,2006,16,ZERO CAGE
ALLEY EVOLUTION,2006,9,KARL BERRY
ALONE TRIP,2006,12,KARL BERRY
ARABIA DOGMA,2006,11,KARL BERRY
ARIZONA BANG,2006,4,KARL BERRY
BOUND CHEAPER,2006,4,KARL BERRY
BOWFINGER GABLES,2006,11,KARL BERRY
BUNCH MINDS,2006,7,KARL BERRY
CLEOPATRA DEVIL,2006,13,KARL BERRY
CONNECTICUT TRAMP,2006,14,KARL BERRY
DARES PLUTO,2006,2,KARL BERRY
DATE SPEED,2006,8,KARL BERRY
DAY UNFAITHFUL,2006,13,KARL BERRY
DOORS PRESIDENT,2006,2,KARL BERRY
FURY MURDER,2006,3,KARL BERRY
HARDLY ROBBERS,2006,6,KARL BERRY
HIGHBALL POTTER,2006,9,KARL BERRY
HOLES BRANNIGAN,2006,15,KARL BERRY
INDEPENDENCE HOTEL,2006,6,KARL BERRY
LEATHERNECKS DWARFS,2006,16,KARL BERRY
LUCKY FLYING,2006,12,KARL BERRY
MONTEREY LABYRINTH,2006,11,KARL BERRY
NOVOCAINE FLIGHT,2006,15,KARL BERRY
OKLAHOMA JUMANJI,2006,13,KARL BERRY
PERFECT GROOVE,2006,5,KARL BERRY
REAP UNFAITHFUL,2006,11,KARL BERRY
REUNION WITCHES,2006,7,KARL BERRY
SMOKING BARBARELLA,2006,6,KARL BERRY
STAGECOACH ARMAGEDDON,2006,1,KARL BERRY
SWEDEN SHINING,2006,5,KARL BERRY
TELEMARK HEARTBREAKERS,2006,2,KARL BERRY
VIRGINIAN PLUTO,2006,6,KARL BERRY
ALONE TRIP,2006,12,UMA WOOD
ANTITRUST TOMATOES,2006,1,UMA WOOD
ATTRACTION NEWTON,2006,13,UMA WOOD
BOONDOCK BALLROOM,2006,16,UMA WOOD
CABIN FLASH,2006,3,UMA WOOD
CHINATOWN GLADIATOR,2006,13,UMA WOOD
CLASH FREDDY,2006,2,UMA WOOD
CLUELESS BUCKET,2006,1,UMA WOOD
DAISY MENAGERIE,2006,14,UMA WOOD
DRIVER ANNIE,2006,15,UMA WOOD
FRIDA SLIPPER,2006,9,UMA WOOD
GALAXY SWEETHEARTS,2006,4,UMA WOOD
GRINCH MASSAGE,2006,10,UMA WOOD
GROUNDHOG UNCUT,2006,5,UMA WOOD
HOMEWARD CIDER,2006,6,UMA WOOD
INCH JET,2006,2,UMA WOOD
LEATHERNECKS DWARFS,2006,16,UMA WOOD
LEGALLY SECRETARY,2006,3,UMA WOOD
LIFE TWISTED,2006,5,UMA WOOD
LION UNCUT,2006,5,UMA WOOD
LOLITA WORLD,2006,8,UMA WOOD
METAL ARMAGEDDON,2006,6,UMA WOOD
MODEL FISH,2006,3,UMA WOOD
MOONWALKER FOOL,2006,10,UMA WOOD
MOTIONS DETAILS,2006,11,UMA WOOD
REBEL AIRPORT,2006,12,UMA WOOD
RIDER CADDYSHACK,2006,15,UMA WOOD
SNOWMAN ROLLERCOASTER,2006,2,UMA WOOD
SOLDIERS EVOLUTION,2006,14,UMA WOOD
SPLASH GUMP,2006,8,UMA WOOD
SPLENDOR PATTON,2006,3,UMA WOOD
STEEL SANTA,2006,4,UMA WOOD
TORQUE BOUND,2006,7,UMA WOOD
WEDDING APOLLO,2006,6,UMA WOOD
ZHIVAGO CORE,2006,11,UMA WOOD
CLASH FREDDY,2006,2,VIVIEN BERGEN
CRANES RESERVOIR,2006,15,VIVIEN BERGEN
DIRTY ACE,2006,10,VIVIEN BERGEN
DONNIE ALLEY,2006,2,VIVIEN BERGEN
DRIFTER COMMANDMENTS,2006,1,VIVIEN BERGEN
DRIVING POLISH,2006,12,VIVIEN BERGEN
DRUMS DYNAMITE,2006,11,VIVIEN BERGEN
ENEMY ODDS,2006,12,VIVIEN BERGEN
EXCITEMENT EVE,2006,1,VIVIEN BERGEN
GORGEOUS BINGO,2006,3,VIVIEN BERGEN
HIGH ENCINO,2006,11,VIVIEN BERGEN
HILLS NEIGHBORS,2006,1,VIVIEN BERGEN
HOBBIT ALIEN,2006,7,VIVIEN BERGEN
IMPACT ALADDIN,2006,12,VIVIEN BERGEN
ITALIAN AFRICAN,2006,16,VIVIEN BERGEN
JAPANESE RUN,2006,11,VIVIEN BERGEN
KENTUCKIAN GIANT,2006,11,VIVIEN BERGEN
LOVELY JINGLE,2006,4,VIVIEN BERGEN
LOVER TRUMAN,2006,4,VIVIEN BERGEN
MUSSOLINI SPOILERS,2006,15,VIVIEN BERGEN
POLISH BROOKLYN,2006,3,VIVIEN BERGEN
SALUTE APOLLO,2006,13,VIVIEN BERGEN
SATURDAY LAMBS,2006,15,VIVIEN BERGEN
STOCK GLASS,2006,13,VIVIEN BERGEN
STREETCAR INTENTIONS,2006,11,VIVIEN BERGEN
TIGHTS DAWN,2006,15,VIVIEN BERGEN
TRAP GUYS,2006,9,VIVIEN BERGEN
TYCOON GATHERING,2006,10,VIVIEN BERGEN
VOICE PEACH,2006,13,VIVIEN BERGEN
WESTWARD SEABISCUIT,2006,4,VIVIEN BERGEN
APACHE DIVINE,2006,8,CUBA OLIVIER
BORROWERS BEDAZZLED,2006,2,CUBA OLIVIER
BOUND CHEAPER,2006,4,CUBA OLIVIER
BUTCH PANTHER,2006,13,CUBA OLIVIER
CASSIDY WYOMING,2006,16,CUBA OLIVIER
DIVINE RESURRECTION,2006,10,CUBA OLIVIER
EGYPT TENENBAUMS,2006,11,CUBA OLIVIER
EMPIRE MALKOVICH,2006,3,CUBA OLIVIER
FLYING HOOK,2006,2,CUBA OLIVIER
FUGITIVE MAGUIRE,2006,16,CUBA OLIVIER
HELLFIGHTERS SIERRA,2006,9,CUBA OLIVIER
HYDE DOCTOR,2006,4,CUBA OLIVIER
KISS GLORY,2006,9,CUBA OLIVIER
KNOCK WARLOCK,2006,5,CUBA OLIVIER
LUKE MUMMY,2006,2,CUBA OLIVIER
MAKER GABLES,2006,3,CUBA OLIVIER
MONTEZUMA COMMAND,2006,1,CUBA OLIVIER
NOON PAPI,2006,3,CUBA OLIVIER
OKLAHOMA JUMANJI,2006,13,CUBA OLIVIER
ROSES TREASURE,2006,15,CUBA OLIVIER
SHANE DARKNESS,2006,16,CUBA OLIVIER
SIEGE MADRE,2006,8,CUBA OLIVIER
SOLDIERS EVOLUTION,2006,14,CUBA OLIVIER
THEORY MERMAID,2006,2,CUBA OLIVIER
UNFORGIVEN ZOOLANDER,2006,14,CUBA OLIVIER
VOLCANO TEXAS,2006,10,CUBA OLIVIER
WEREWOLF LOLA,2006,1,CUBA OLIVIER
WONDERLAND CHRISTMAS,2006,14,CUBA OLIVIER
BLANKET BEVERLY,2006,8,FRED COSTNER
BOONDOCK BALLROOM,2006,16,FRED COSTNER
BROTHERHOOD BLANKET,2006,6,FRED COSTNER
CAROL TEXAS,2006,2,FRED COSTNER
CLEOPATRA DEVIL,2006,13,FRED COSTNER
CONNECTICUT TRAMP,2006,14,FRED COSTNER
DECEIVER BETRAYED,2006,7,FRED COSTNER
DELIVERANCE MULHOLLAND,2006,6,FRED COSTNER
EAGLES PANKY,2006,13,FRED COSTNER
EARRING INSTINCT,2006,8,FRED COSTNER
EASY GLADIATOR,2006,1,FRED COSTNER
EMPIRE MALKOVICH,2006,3,FRED COSTNER
ENTRAPMENT SATISFACTION,2006,1,FRED COSTNER
GABLES METROPOLIS,2006,8,FRED COSTNER
HUMAN GRAFFITI,2006,10,FRED COSTNER
IMAGE PRINCESS,2006,15,FRED COSTNER
IMPOSSIBLE PREJUDICE,2006,9,FRED COSTNER
INCH JET,2006,2,FRED COSTNER
KRAMER CHOCOLATE,2006,15,FRED COSTNER
MAGNIFICENT CHITTY,2006,4,FRED COSTNER
MIRACLE VIRTUAL,2006,2,FRED COSTNER
MISSION ZOOLANDER,2006,2,FRED COSTNER
REAR TRADING,2006,1,FRED COSTNER
SAINTS BRIDE,2006,7,FRED COSTNER
SENSE GREEK,2006,15,FRED COSTNER
THEORY MERMAID,2006,2,FRED COSTNER
WEEKEND PERSONAL,2006,14,FRED COSTNER
BREAKING HOME,2006,13,HELEN VOIGHT
CAPER MOTIONS,2006,5,HELEN VOIGHT
CASPER DRAGONFLY,2006,3,HELEN VOIGHT
CAT CONEHEADS,2006,5,HELEN VOIGHT
CLASH FREDDY,2006,2,HELEN VOIGHT
CUPBOARD SINNERS,2006,6,HELEN VOIGHT
CYCLONE FAMILY,2006,9,HELEN VOIGHT
DIVINE RESURRECTION,2006,10,HELEN VOIGHT
EMPIRE MALKOVICH,2006,3,HELEN VOIGHT
FEVER EMPIRE,2006,10,HELEN VOIGHT
FIDELITY DEVIL,2006,11,HELEN VOIGHT
GREATEST NORTH,2006,12,HELEN VOIGHT
INDEPENDENCE HOTEL,2006,6,HELEN VOIGHT
IRON MOON,2006,4,HELEN VOIGHT
JAWS HARRY,2006,5,HELEN VOIGHT
KISS GLORY,2006,9,HELEN VOIGHT
LEGALLY SECRETARY,2006,3,HELEN VOIGHT
LIES TREATMENT,2006,7,HELEN VOIGHT
MICROCOSMOS PARADISE,2006,3,HELEN VOIGHT
MOVIE SHAKESPEARE,2006,8,HELEN VOIGHT
MUMMY CREATURES,2006,15,HELEN VOIGHT
ROAD ROXANNE,2006,6,HELEN VOIGHT
SCISSORHANDS SLUMS,2006,9,HELEN VOIGHT
SIDE ARK,2006,1,HELEN VOIGHT
SINNERS ATLANTIS,2006,11,HELEN VOIGHT
STRANGER STRANGERS,2006,3,HELEN VOIGHT
SWEETHEARTS SUSPECTS,2006,3,HELEN VOIGHT
TADPOLE PARK,2006,4,HELEN VOIGHT
TELEMARK HEARTBREAKERS,2006,2,HELEN VOIGHT
VOICE PEACH,2006,13,HELEN VOIGHT
WAR NOTTING,2006,9,HELEN VOIGHT
WARLOCK WEREWOLF,2006,3,HELEN VOIGHT
ATTACKS HATE,2006,14,DAN TORN
BOILED DARES,2006,16,DAN TORN
CHINATOWN GLADIATOR,2006,13,DAN TORN
CONEHEADS SMOOCHY,2006,7,DAN TORN
EARLY HOME,2006,2,DAN TORN
ELIZABETH SHANE,2006,15,DAN TORN
EMPIRE MALKOVICH,2006,3,DAN TORN
FLASH WARS,2006,13,DAN TORN
GUMP DATE,2006,16,DAN TORN
INNOCENT USUAL,2006,9,DAN TORN
INSIDER ARIZONA,2006,12,DAN TORN
JERK PAYCHECK,2006,4,DAN TORN
LOVELY JINGLE,2006,4,DAN TORN
MASK PEACH,2006,13,DAN TORN
MUSSOLINI SPOILERS,2006,15,DAN TORN
REAR TRADING,2006,1,DAN TORN
SLING LUKE,2006,4,DAN TORN
STATE WASTELAND,2006,10,DAN TORN
SUN CONFESSIONS,2006,14,DAN TORN
TEQUILA PAST,2006,3,DAN TORN
TUXEDO MILE,2006,15,DAN TORN
VIRGIN DAISY,2006,7,DAN TORN
ACE GOLDFINGER,2006,11,BOB FAWCETT
ADAPTATION HOLES,2006,6,BOB FAWCETT
CHINATOWN GLADIATOR,2006,13,BOB FAWCETT
CIRCUS YOUTH,2006,3,BOB FAWCETT
CONTROL ANTHEM,2006,5,BOB FAWCETT
DARES PLUTO,2006,2,BOB FAWCETT
DARN FORRESTER,2006,1,BOB FAWCETT
DAZED PUNK,2006,10,BOB FAWCETT
DYNAMITE TARZAN,2006,4,BOB FAWCETT
HATE HANDICAP,2006,5,BOB FAWCETT
HOMICIDE PEACH,2006,8,BOB FAWCETT
JACKET FRISCO,2006,7,BOB FAWCETT
JUMANJI BLADE,2006,13,BOB FAWCETT
LAWLESS VISION,2006,2,BOB FAWCETT
LEATHERNECKS DWARFS,2006,16,BOB FAWCETT
OSCAR GOLD,2006,2,BOB FAWCETT
PELICAN COMFORTS,2006,6,BOB FAWCETT
PERSONAL LADYBUGS,2006,12,BOB FAWCETT
RAGING AIRPLANE,2006,14,BOB FAWCETT
RUN PACIFIC,2006,13,BOB FAWCETT
RUNNER MADIGAN,2006,12,BOB FAWCETT
SADDLE ANTITRUST,2006,5,BOB FAWCETT
SCORPION APOLLO,2006,7,BOB FAWCETT
SHAWSHANK BUBBLE,2006,16,BOB FAWCETT
TAXI KICK,2006,12,BOB FAWCETT
ACADEMY DINOSAUR,2006,6,LUCILLE TRACY
BANGER PINOCCHIO,2006,12,LUCILLE TRACY
BEDAZZLED MARRIED,2006,8,LUCILLE TRACY
CHEAPER CLYDE,2006,14,LUCILLE TRACY
CHITTY LOCK,2006,7,LUCILLE TRACY
COLDBLOODED DARLING,2006,14,LUCILLE TRACY
DINOSAUR SECRETARY,2006,8,LUCILLE TRACY
DOORS PRESIDENT,2006,2,LUCILLE TRACY
EARRING INSTINCT,2006,8,LUCILLE TRACY
EGG IGBY,2006,6,LUCILLE TRACY
GANDHI KWAI,2006,8,LUCILLE TRACY
GOLDFINGER SENSIBILITY,2006,7,LUCILLE TRACY
HYDE DOCTOR,2006,4,LUCILLE TRACY
JAWS HARRY,2006,5,LUCILLE TRACY
JUNGLE CLOSER,2006,13,LUCILLE TRACY
KING EVOLUTION,2006,8,LUCILLE TRACY
LOLA AGENT,2006,11,LUCILLE TRACY
LOSE INCH,2006,9,LUCILLE TRACY
